episode,return_maxsnr,return_fed,return_diff
0,290483521112.1816,245923419211.37292,-44560101900.808655
1,331719324607.4733,254664676610.91046,-77054647996.56287
2,298858661593.2071,266761685951.5192,-32096975641.687897
3,349077263749.7407,312225381062.7297,-36851882687.01105
4,360296006829.9377,353987846926.08264,-6308159903.8550415
5,396398297429.84326,335090183876.2585,-61308113553.58478
6,350175834160.8892,289488602937.78827,-60687231223.10095
7,330300424583.3025,319423693233.7114,-10876731349.591064
8,370512378301.4507,357849408727.15875,-12662969574.291931
9,367039839165.17865,312107575974.97864,-54932263190.20001
10,333405301275.71295,236849415861.96487,-96555885413.74808
11,260883123156.31757,236677498355.0243,-24205624801.293274
12,410697322939.9356,409917762237.6291,-779560702.3065186
13,385649582197.75574,338327774933.9745,-47321807263.78125
14,271392692426.6218,199759208751.44995,-71633483675.17184
15,284597966919.88086,226035374345.83804,-58562592574.042816
16,438402083111.23627,395691691695.6513,-42710391415.58496
17,330377815852.3711,280425309293.4732,-49952506558.89789
18,338323392757.92993,321269074317.72943,-17054318440.2005
19,437498085200.6255,400142441086.3034,-37355644114.32208
